,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
83,angl_left_fingers_pos_mov_iqr,(7.150548752923527+0j),(9.299093814544136+0j),(7.039324606340813+0j),(5.020847597175361+0j),(7.967209521399781+0j),(5.322258758750962+0j),(7.559011255023648+0j),(3.3024009940380665+0j)
84,angl_left_fingers_pos_mov_entropy,(5.723219327618912+0j),(5.72296697194864+0j),(5.7232803382938915+0j),(5.703426030967151+0j),(5.723110026292407+0j),(5.723368003503429+0j),(5.703214179295599+0j),(5.703689609722099+0j)
85,angl_left_fingers_pos_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
86,angl_left_fingers_pos_mov_kurtosis,(-0.6193999751435721+0j),(-0.9798461936786125+0j),(-1.2619790427433342+0j),(0.5618953286597566+0j),(-0.6818352716348302+0j),(1.211787300358818+0j),(0.08005971408818713+0j),(4.095263733364201+0j)
87,angl_left_fingers_pos_mov_skewness,(0.30981462474528665+0j),(-0.03928579633764126+0j),(0.2737771154734997+0j),(-0.8963808751868264+0j),(-0.39889965460503074+0j),(-0.8118051103685392+0j),(-0.3411435088967279+0j),(-1.2873572000077385+0j)
88,angl_left_fingers_pos_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
89,angl_left_fingers_pos_mov_maxFreqComp,(50234.49372082592-0j),(49116.75573188025-0j),(49698.32467100273-0j),(48821.65521709311-0j),(50056.83342728834-0j),(52906.32391731165-0j),(48638.21337939451-0j),(52898.57172602162-0j)
90,angl_left_fingers_pos_mov_meanFreq,(159.64247459363466+0j),(153.78256820819252+1.4861024538773338e-15j),(168.3788875546572+2.7864421010200007e-16j),(169.34962234285226+5.684341886080802e-16j),(174.06380683726482+1.4861024538773338e-15j),(168.29861061266612+0j),(161.2392571006584+0j),(178.32906033251697-7.579122514774402e-16j)
91,angl_left_fingers_pos_mov_skewnessFreq,(17.404405339602842+2.415940027606134e-18j),(17.413163171587946+9.374407532116286e-19j),(17.40548033349486-1.5336581353891785e-18j),(17.222360615088355-6.016897619903497e-19j),(17.418369425860835-3.9852412542906234e-18j),(17.40930703197446-5.447810085172808e-19j),(17.223958020652695+0j),(17.233434719882194-3.325256657101976e-19j)
92,angl_left_fingers_pos_mov_kurtosisFreq,(300.94235187335073+5.625371670914648e-17j),(301.14132076135434+2.197153688497494e-17j),(300.9668894523982-3.5592027529681e-17j),(294.74134699029037-1.391596662574787e-17j),(301.26383733062966-9.303771950923104e-17j),(301.05702083484-1.2686503589740641e-17j),(294.7780904734773-1.5426664517043975e-21j),(294.9953258362373-7.74373793930779e-18j)
93,angl_left_fingers_pos_mov_median,(163.5104418971833+0j),(161.01260688097534+0j),(160.9858916859493+0j),(163.61295294480618+0j),(165.11842381100354+0j),(173.298181805395+0j),(162.4061790516024+0j),(176.32038893146986+0j)
94,angl_left_fingers_pos_mov_peak_count,(55+0j),(49+0j),(45+0j),(60+0j),(50+0j),(53+0j),(62+0j),(53+0j)
95,angl_left_hips_mov_mean,(106.65150227633345+0j),(110.4795004463041+0j),(105.4018924045438+0j),(104.7397649481767+0j),(142.24414333065263+0j),(103.37402305058302+0j),(96.87425904457913+0j),(106.59618414166856+0j)
96,angl_left_hips_mov_var,(2.0274302681544114+0j),(6.691993074484264+0j),(1.2270289058732256+0j),(3.2946945355369044+0j),(3.410956522301556+0j),(4.739017045245898+0j),(3.2061862154553005+0j),(7.965084417429501+0j)
97,angl_left_hips_mov_mad,(0.9124054930240675+0j),(1.917178506339532+0j),(0.6151059517895376+0j),(1.4132448822782493+0j),(0.6999940597824974+0j),(0.9684917695802824+0j),(1.1787256165237636+0j),(0.7448024161637505+0j)
98,angl_left_hips_mov_max,(111.83156156401697+0j),(113.6178783561547+0j),(108.11151106766908+0j),(112.41424215985109+0j),(145.47779109519774+0j),(111.54310958058612+0j),(101.3158346042139+0j),(122.90188161773088+0j)
99,angl_left_hips_mov_min,(103.2562430087883+0j),(104.73417982275788+0j),(102.67636418216172+0j),(101.62160306517195+0j),(132.81697409961453+0j),(94.37656475264195+0j),(92.19846167242936+0j),(102.9166024560145+0j)
100,angl_left_hips_mov_sma,(106.65150227633345+0j),(110.4795004463041+0j),(105.4018924045438+0j),(104.7397649481767+0j),(142.24414333065263+0j),(103.37402305058302+0j),(96.87425904457913+0j),(106.59618414166856+0j)
101,angl_left_hips_mov_energy,(11376.57036806691+0j),(12212.412011939387+0j),(11110.7859513649+0j),(10973.71305593484+0j),(20236.80726839355+0j),(10690.927658707715+0j),(9387.828251651677+0j),(11370.711557981936+0j)
102,angl_left_hips_mov_iqr,(1.8360362947491353+0j),(4.485482787572607+0j),(1.3024528426146276+0j),(2.7941836744038966+0j),(1.4034820685818659+0j),(1.905381324457366+0j),(2.4286610936216846+0j),(1.4742705496526014+0j)
103,angl_left_hips_mov_entropy,(5.72349598034887+0j),(5.723309809036496+0j),(5.723529801500064+0j),(5.703633038057006+0j),(5.723500019284824+0j),(5.723363806437003+0j),(5.703611590306851+0j),(5.703443445653077+0j)
104,angl_left_hips_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
105,angl_left_hips_mov_kurtosis,(0.5663890261026183+0j),(-1.0294277684999298+0j),(0.05258252456995782+0j),(1.1370749737139532+0j),(7.324253311699776+0j),(4.805174890457605+0j),(-0.24097570705098725+0j),(17.297079582349944+0j)
106,angl_left_hips_mov_skewness,(0.02312428453432911+0j),(-0.5184320167704815+0j),(-0.37900607450318136+0j),(0.8718643809519362+0j),(-2.102955295414025+0j),(0.36437203665628115+0j),(-0.0343561471013961+0j),(3.954417657436236+0j)
107,angl_left_hips_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
108,angl_left_hips_mov_maxFreqComp,(32635.359696558033-0j),(33806.72713656905-0j),(32252.9790757904-0j),(31421.92948445301-0j),(43526.7078591797-0j),(31632.451053478402-0j),(29062.27771337374-0j),(31978.855242500562-0j)
109,angl_left_hips_mov_meanFreq,(111.56625048169248+0j),(108.43384287297327+0j),(105.6308490282052+4.644070168366668e-17j),(109.83052584260652-3.789561257387201e-16j),(134.16355963951736-7.430512269386669e-16j),(104.83395954157352-3.7152561346933344e-16j),(94.92153682773537+0j),(119.39357352936108+0j)
110,angl_left_hips_mov_skewnessFreq,(17.408465749319195+3.770088304592912e-21j),(17.40328486020611-1.6942351475390322e-21j),(17.406434531359967-7.465702962465421e-20j),(17.230085113932933+2.4315330574438737e-19j),(17.407150281295714-7.106392895165469e-19j),(17.40600107707527+6.186740131986293e-19j),(17.235024888635664+0j),(17.234623795385343-1.4736405880797783e-18j)
111,angl_left_hips_mov_kurtosisFreq,(301.03749157524845+2.591328289108689e-22j),(300.9183079140782+1.685724426431021e-22j),(300.9904716325171-1.7565786554628443e-18j),(294.9190060953863+5.608913147022361e-18j),(301.0070400971781-1.6645904305468063e-17j),(300.9805769443956+1.4328650225252064e-17j),(295.03168925950047+4.0367056264916126e-22j),(295.02249839413207-3.4067967030555655e-17j)
112,angl_left_hips_mov_median,(106.7751353025949+0j),(111.18804748961412+0j),(105.59687486181744+0j),(104.61403082638799+0j),(142.4257196754013+0j),(103.47453337460271+0j),(96.774196652509+0j),(106.09981499779417+0j)
113,angl_left_hips_mov_peak_count,(38+0j),(34+0j),(39+0j),(43+0j),(43+0j),(49+0j),(46+0j),(45+0j)
114,angl_left_should_mov_mean,(23.707912047851234+0j),(12.99720837814658+0j),(17.3870047148867+0j),(16.294772737708886+0j),(22.175647508447657+0j),(24.75426171232799+0j),(20.16727272116071+0j),(9.998766925035206+0j)
115,angl_left_should_mov_var,(3.615322142997421+0j),(1.016523692785237+0j),(1.4993072326986712+0j),(5.187178902237303+0j),(2.8297181657478756+0j),(5.726431774283909+0j),(3.2564019914354674+0j),(1.9998207446249223+0j)
116,angl_left_should_mov_mad,(0.9577539034196896+0j),(0.3758196273325254+0j),(0.44366259043025735+0j),(1.578136978476028+0j),(1.453136895357094+0j),(2.2081470836829915+0j),(1.474185588042607+0j),(1.0837698173588217+0j)
117,angl_left_should_mov_max,(28.17223379825615+0j),(17.079970866703317+0j),(19.58662802672852+0j),(22.771818657343797+0j),(26.07423080985305+0j),(33.20425994304374+0j),(24.60421639920077+0j),(13.962377256476056+0j)
118,angl_left_should_mov_min,(18.09642834573322+0j),(11.04089211740584+0j),(13.73457975230745+0j),(11.61727179101209+0j),(19.455168877114527+0j),(20.77846115630657+0j),(16.442327905604206+0j),(7.639176319822896+0j)
119,angl_left_should_mov_sma,(23.707912047851234+0j),(12.99720837814658+0j),(17.3870047148867+0j),(16.294772737708886+0j),(22.175647508447657+0j),(24.75426171232799+0j),(20.16727272116071+0j),(9.998766925035206+0j)
120,angl_left_should_mov_energy,(565.6804158116472+0j),(169.94394931774886+0j),(303.80724018819103+0j),(270.70679747581795+0j),(494.5890605846687+0j),(618.4999046967114+0j),(409.9752910011084+0j),(101.9751607658029+0j)
121,angl_left_should_mov_iqr,(1.7912517889784247+0j),(0.8477103002249571+0j),(1.5788656038683797+0j),(2.9673866169047987+0j),(2.8755313937771447+0j),(4.431528495162727+0j),(3.0740462092461627+0j),(2.421953453429561+0j)
122,angl_left_should_mov_entropy,(5.7202977205892935+0j),(5.72067531026919+0j),(5.721038321356296+0j),(5.6940329292120095+0j),(5.72072678063242+0j),(5.718934901839813+0j),(5.699800788912482+0j),(5.693940664548646+0j)
123,angl_left_should_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
124,angl_left_should_mov_kurtosis,(0.799761191863396+0j),(3.60915631109681+0j),(0.3449766329142472+0j),(-0.2036450834837331+0j),(-0.956937775670966+0j),(-0.7100115118682249+0j),(-0.6443622652396401+0j),(-0.7486002392962416+0j)
125,angl_left_should_mov_skewness,(-0.6638939750185153+0j),(1.4985313026479972+0j),(-1.022080815831791+0j),(0.23126920303029017+0j),(0.333297759082678+0j),(0.25295610001097274+0j),(0.2836399975755476+0j),(0.4853962781041578+0j)
126,angl_left_should_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
127,angl_left_should_mov_maxFreqComp,(7254.621086642478-0j),(3977.1457637128533-0j),(5320.42344275533-0j),(4888.431821312666-0j),(6785.748137584982-0j),(7574.804083972364-0j),(6050.181816348213-0j),(2999.6300775105615-0j)
128,angl_left_should_mov_meanFreq,(26.659483823798368+0j),(11.318788088266162+0j),(18.097833965811095+0j),(20.306568920217742+0j),(25.19263895716234+0j),(26.939218491933293+0j),(20.383745978806036+0j),(13.962377256476058+0j)
129,angl_left_should_mov_skewnessFreq,(17.455349337123998-7.368825052444287e-18j),(17.416650884483033-2.9476639395936683e-18j),(17.365142251903222-6.762305028711994e-18j),(17.507221529947355-2.4645869226634737e-17j),(17.50131925924089-8.676598945023872e-18j),(17.48661175797037-6.54736572439145e-18j),(17.276643797048628+1.0353020022468355e-17j),(17.256992819628323+1.4682107976530065e-18j)
130,angl_left_should_mov_kurtosisFreq,(302.13503281964114-1.6969128911608845e-16j),(301.2210611018187-7.016425826708662e-17j),(300.0131400783538-1.5611553644820488e-16j),(301.36571534520544-5.647434261346782e-16j),(303.1366632392234-1.9498317580776062e-16j),(302.9072055357513-1.5643150934309248e-16j),(295.8960470864811+2.3881773925339306e-16j),(295.5243956665247+3.049433469020478e-17j)
131,angl_left_should_mov_median,(23.81549909384268+0j),(12.89753948298382+0j),(17.898296671243724+0j),(16.040612795025424+0j),(22.11518127756525+0j),(24.326285451199254+0j),(19.96094238983212+0j),(9.653658473375131+0j)
132,angl_left_should_mov_peak_count,(31+0j),(35+0j),(30+0j),(40+0j),(35+0j),(44+0j),(36+0j),(36+0j)
133,angl_left_wrist_round_mean,(42.571623524195694+0j),(32.815103647762605+0j),(57.142239334076415+0j),(47.17885391372445+0j),(47.74683438617757+0j),(37.36139115679793+0j),(46.533591424867055+0j),(32.60675846594957+0j)
134,angl_left_wrist_round_var,(16.12041077299408+0j),(14.718716426043477+0j),(22.658271162594236+0j),(48.067624499055434+0j),(55.51678594586316+0j),(53.8465682470181+0j),(22.031731018208454+0j),(4.7783669635781685+0j)
135,angl_left_wrist_round_mad,(2.270214024749343+0j),(2.170885022310454+0j),(3.5097047775417494+0j),(5.2624422236229265+0j),(5.826338339983625+0j),(3.492550451876749+0j),(3.1421244805504855+0j),(1.4459141521074592+0j)
136,angl_left_wrist_round_max,(54.75188368783096+0j),(39.500564459616335+0j),(67.34544249429494+0j),(64.26159610577315+0j),(61.67597556950905+0j),(62.99653622038578+0j),(60.491750324853335+0j),(38.81940134721509+0j)
137,angl_left_wrist_round_min,(34.49251639803072+0j),(20.328569331616062+0j),(46.76638214981628+0j),(31.610953106866024+0j),(17.917794415277477+0j),(6.757520754610543+0j),(32.46650173641648+0j),(26.323968367042266+0j)
138,angl_left_wrist_round_sma,(42.571623524195694+0j),(32.815103647762605+0j),(57.142239334076415+0j),(47.17885391372445+0j),(47.74683438617757+0j),(37.36139115679793+0j),(46.533591424867055+0j),(32.60675846594957+0j)
139,angl_left_wrist_round_energy,(1828.4635402588467+0j),(1091.5497438394464+0j),(3287.893787275464+0j),(2273.9118811116086+0j),(2335.2769798469317+0j),(1449.7201174182765+0j),(2187.406861914669+0j),(1067.9790646203521+0j)
140,angl_left_wrist_round_iqr,(4.644745626118137+0j),(5.063866742690816+0j),(7.212370874604055+0j),(10.701645730681683+0j),(11.044862599747482+0j),(6.808163488607114+0j),(6.329676013173163+0j),(2.6591113901432166+0j)
141,angl_left_wrist_round_entropy,(5.719236875679071+0j),(5.716431869795267+0j),(5.720062167703107+0j),(5.692855585683637+0j),(5.7108023657064155+0j),(5.704642694202708+0j),(5.69867740255901+0j),(5.70153198588557+0j)
142,angl_left_wrist_round_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
143,angl_left_wrist_round_kurtosis,(0.6728777655385705+0j),(0.5422515995664039+0j),(-0.6665715302813249+0j),(-0.5591296652424242+0j),(0.5292493719187203+0j),(2.463018929019829+0j),(-0.16974129334998356+0j),(0.209712898762771+0j)
144,angl_left_wrist_round_skewness,(0.8674462220084627+0j),(-0.9507507359197239+0j),(-0.4512369568295118+0j),(-0.05973959714315274+0j),(-0.5914173396681057+0j),(0.8478880103929101+0j),(0.03983564421618757+0j),(0.0424946706512833+0j)
145,angl_left_wrist_round_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
146,angl_left_wrist_round_maxFreqComp,(13026.916798403885-0j),(10041.421716215358-0j),(17485.525236227382-0j),(14153.656174117335-0j),(14610.531322170336-0j),(11432.585693980167-0j),(13960.077427460115-0j),(9782.027539784869-0j)
147,angl_left_wrist_round_meanFreq,(40.62990383265595-7.430512269386669e-16j),(36.95797507241385-7.430512269386669e-16j),(52.45250635176143-1.8576280673466672e-16j),(33.512591404725526+1.5158245029548805e-15j),(51.18638655219204-3.7152561346933344e-16j),(22.57354056666018-2.9722049077546675e-15j),(52.63995058434289-7.579122514774402e-16j),(36.86598751420144+1.8947806286936006e-16j)
148,angl_left_wrist_round_skewnessFreq,(17.494513397868438-3.698639037408412e-18j),(17.524868412873875-1.9046381010327557e-17j),(17.334355601343024+5.8511499384643395e-19j),(17.32202322774601+1.9015064212313386e-18j),(17.497080950698663+1.5211937404556963e-18j),(17.440898192342658-2.0326601510565226e-17j),(17.222213201459798-4.978251799487362e-18j),(17.262927618378903-1.0075688887612393e-18j)
149,angl_left_wrist_round_kurtosisFreq,(303.0440246720978-8.840852804588262e-17j),(303.7057890836176-4.447869905776503e-16j),(299.3578857929312+1.2893686461208015e-17j),(297.0682505876778+4.645344274552325e-17j),(303.2307027305685+2.9950833653066414e-17j),(301.87522512805987-4.979748849741578e-16j),(294.7366705492499-1.1370805225698046e-16j),(295.6701645361104-2.3220471753449217e-17j)
150,angl_left_wrist_round_median,(41.836280103318146+0j),(33.92142298909487+0j),(57.88549746341916+0j),(47.30091527104962+0j),(47.108520307772565+0j),(36.65775304022783+0j),(46.84332781034409+0j),(32.50128587408902+0j)
151,angl_left_wrist_round_peak_count,(46+0j),(56+0j),(48+0j),(56+0j),(51+0j),(51+0j),(67+0j),(45+0j)
152,angl_right_cheek_mov_mean,(105.19298842659988+0j),(120.99442107065978+0j),(96.17144005640691+0j),(109.75083163149927+0j),(98.87696094208786+0j),(109.3148767401591+0j),(106.89592539642416+0j),(109.90747571622592+0j)
153,angl_right_cheek_mov_var,(55.63810466666057+0j),(12.318163663468722+0j),(8.484088639150702+0j),(43.5496027802694+0j),(9.900600112417582+0j),(106.74335138331307+0j),(15.603700007602395+0j),(30.997592630499252+0j)
154,angl_right_cheek_mov_mad,(6.068263843867626+0j),(2.795228751905057+0j),(1.9017421979781943+0j),(5.37279572583315+0j),(1.6381771581343898+0j),(6.275865746223232+0j),(2.6001036860458697+0j),(3.411254258793953+0j)
155,angl_right_cheek_mov_max,(122.96944578755608+0j),(126.84187396585132+0j),(111.86497347176682+0j),(121.51903564202728+0j),(104.73750186882206+0j),(123.13296799435962+0j),(118.15874958929986+0j),(121.18901106308184+0j)
156,angl_right_cheek_mov_min,(92.233324332251+0j),(109.2130098789796+0j),(90.78923306560571+0j),(95.12812840530113+0j),(87.13348380128659+0j),(85.32728958650601+0j),(95.7150130335173+0j),(93.7652546821828+0j)
157,angl_right_cheek_mov_sma,(105.19298842659988+0j),(120.99442107065978+0j),(96.17144005640691+0j),(109.75083163149927+0j),(98.87696094208786+0j),(109.3148767401591+0j),(106.89592539642416+0j),(109.90747571622592+0j)
158,angl_right_cheek_mov_energy,(11121.202918785439+0j),(14651.968093887595+0j),(9257.429971162217+0j),(12088.794646585966+0j),(9786.554005255588+0j),(12056.485628099486+0j),(11442.342566365485+0j),(12110.650810943287+0j)
159,angl_right_cheek_mov_iqr,(12.098902964457793+0j),(5.712448714758722+0j),(3.6978639979962225+0j),(10.471526782331523+0j),(3.711753260460071+0j),(15.444898837369095+0j),(5.7894391945679615+0j),(6.902471903522937+0j)
160,angl_right_cheek_mov_entropy,(5.721080204387455+0j),(5.7231623720886216+0j),(5.72313140039129+0j),(5.701970537397813+0j),(5.723072773489289+0j),(5.719005615097031+0j),(5.703098627788858+0j),(5.702484393928812+0j)
161,angl_right_cheek_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
162,angl_right_cheek_mov_kurtosis,(-0.8140734949227317+0j),(-0.09658764619944682+0j),(2.8004078313623983+0j),(-0.9990399171021656+0j),(0.862862913964261+0j),(-0.7957887776004853+0j),(0.10050615160451315+0j),(0.4799984118383245+0j)
163,angl_right_cheek_mov_skewness,(0.2288258532404986+0j),(-0.45257364626020796+0j),(1.15144952731371+0j),(-0.054728794096514245+0j),(-1.0507303276681808+0j),(-0.6908500306112051+0j),(-0.06978700353871185+0j),(-0.6009417850314154+0j)
164,angl_right_cheek_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
165,angl_right_cheek_mov_maxFreqComp,(32189.05445853957-0j),(37024.2928476219-0j),(29428.46065726051-0j),(32925.24948944978-0j),(30256.35004827888-0j),(33450.352282488675-0j),(32068.777618927248-0j),(32972.24271486777-0j)
